* Measurement data measured by REW V5.20.14
* Source: Trace Arithmetic result Excess phase
* Format: Trace Arithmetic result Excess phase
* Dated: 20/06/2023 5:36:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Excess phase copy of L+R Jun 15 Cal file effects included No LF tail No HF tail
* Measurement: L+R Jun 15-EP
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 21.240234 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
203.536591 0.010 361.6082
205.011505 0.010 361.5001
206.497101 0.010 361.3968
207.993469 0.010 361.2975
209.500671 0.010 361.2014
211.018799 0.010 361.1071
212.547928 0.010 361.0139
214.088135 0.010 360.9207
215.639511 0.010 360.8271
217.202118 0.010 360.7330
218.776047 0.010 360.6384
220.361389 0.010 360.5438
221.958221 0.010 360.4499
223.566620 0.010 360.3574
225.186676 0.010 360.2669
226.818466 0.010 360.1790
228.462082 0.010 360.0938
230.117615 0.010 360.0112
231.785141 0.010 359.9311
233.464752 0.010 359.8534
235.156540 0.010 359.7779
236.860580 0.010 359.7045
238.576965 0.010 359.6333
240.305786 0.010 359.5641
242.047134 0.010 359.4969
243.801102 0.010 359.4315
245.567780 0.010 359.3680
247.347260 0.010 359.3063
249.139633 0.010 359.2467
250.945007 0.010 359.1899
252.763458 0.010 359.1368
254.595093 0.010 359.0881
256.440002 0.010 359.0449
258.298279 0.010 359.0076
260.170013 0.010 358.9769
262.055298 0.010 358.9533
263.954254 0.010 358.9371
265.866974 0.010 358.9290
267.793549 0.010 358.9293
269.734100 0.010 358.9383
271.688690 0.010 358.9561
273.657471 0.010 358.9827
275.640503 0.010 359.0177
277.637909 0.010 359.0603
279.649780 0.010 359.1095
281.676239 0.010 359.1638
283.717377 0.010 359.2215
285.773315 0.010 359.2806
287.844147 0.010 359.3388
289.929993 0.010 359.3932
292.030945 0.010 359.4403
294.147125 0.010 359.4761
296.278625 0.010 359.4956
298.425568 0.010 359.4929
300.588074 0.010 359.4617
302.766266 0.010 359.3951
304.960236 0.010 359.2860
307.170105 0.010 359.1274
309.395996 0.010 358.9121
311.638000 0.010 358.6328
313.896271 0.010 358.2826
316.170898 0.010 357.8543
318.462006 0.010 357.3410
320.769714 0.010 356.7361
323.094147 0.010 356.0338
325.435425 0.010 355.2286
327.793671 0.010 354.3161
330.169006 0.010 353.2931
332.561554 0.010 352.1570
334.971436 0.010 350.9069
337.398773 0.010 349.5429
339.843689 0.010 348.0667
342.306335 0.010 346.4811
344.786835 0.010 344.7909
347.285309 0.010 343.0020
349.801880 0.010 341.1217
352.336700 0.010 339.1586
354.889893 0.010 337.1222
357.461578 0.010 335.0226
360.051880 0.010 332.8708
362.660950 0.010 330.6778
365.288940 0.010 328.4549
367.935974 0.010 326.2133
370.602203 0.010 323.9640
373.287750 0.010 321.7169
375.992737 0.010 319.4819
378.717346 0.010 317.2673
381.461700 0.010 315.0809
384.225922 0.010 312.9292
387.010193 0.010 310.8177
389.814636 0.010 308.7507
392.639404 0.010 306.7315
395.484619 0.010 304.7623
398.350464 0.010 302.8445
401.237061 0.010 300.9788
404.144592 0.010 299.1651
407.073181 0.010 297.4029
410.023010 0.010 295.6915
412.994202 0.010 294.0295
415.986938 0.010 292.4155
419.001343 0.010 290.8476
422.037598 0.010 289.3237
425.095856 0.010 287.8416
428.176270 0.010 286.3989
431.279022 0.010 284.9933
434.404236 0.010 283.6227
437.552094 0.010 282.2851
440.722778 0.010 280.9787
443.916443 0.010 279.7021
447.133240 0.010 278.4539
450.373352 0.010 277.2327
453.636932 0.010 276.0372
456.924164 0.010 274.8661
460.235229 0.010 273.7179
463.570282 0.010 272.5916
466.929504 0.010 271.4858
470.313080 0.010 270.3996
473.721161 0.010 269.3320
477.153931 0.010 268.2824
480.611572 0.010 267.2500
484.094269 0.010 266.2344
487.602203 0.010 265.2353
491.135559 0.010 264.2521
494.694519 0.010 263.2843
498.279266 0.010 262.3313
501.890015 0.010 261.3925
505.526917 0.010 260.4671
509.190186 0.010 259.5546
512.880005 0.010 258.6543
516.596558 0.010 257.7657
520.340027 0.010 256.8885
524.110596 0.010 256.0221
527.908508 0.010 255.1666
531.733948 0.010 254.3215
535.587097 0.010 253.4867
539.468201 0.010 252.6618
543.377380 0.010 251.8466
547.314941 0.010 251.0406
551.281006 0.010 250.2436
555.275818 0.010 249.4550
559.299561 0.010 248.6747
563.352478 0.010 247.9021
567.434753 0.010 247.1369
571.546631 0.010 246.3788
575.688293 0.010 245.6275
579.859985 0.010 244.8831
584.061890 0.010 244.1454
588.294250 0.010 243.4143
592.557251 0.010 242.6899
596.851135 0.010 241.9719
601.176147 0.010 241.2604
605.532532 0.010 240.5549
609.920471 0.010 239.8555
614.340210 0.010 239.1620
618.791992 0.010 238.4740
623.276001 0.010 237.7916
627.792542 0.010 237.1146
632.341797 0.010 236.4432
636.924011 0.010 235.7773
641.539429 0.010 235.1173
646.188293 0.010 234.4633
650.870850 0.010 233.8154
655.587341 0.010 233.1739
660.338013 0.010 232.5387
665.123108 0.010 231.9097
669.942871 0.010 231.2864
674.797546 0.010 230.6685
679.687378 0.010 230.0552
684.612671 0.010 229.4460
689.573669 0.010 228.8407
694.570618 0.010 228.2388
699.603760 0.010 227.6403
704.673401 0.010 227.0453
709.779785 0.010 226.4537
714.923157 0.010 225.8657
720.103760 0.010 225.2815
725.321899 0.010 224.7009
730.577881 0.010 224.1241
735.871948 0.010 223.5510
741.204407 0.010 222.9815
746.575500 0.010 222.4156
751.985474 0.010 221.8533
757.434692 0.010 221.2944
762.923401 0.010 220.7388
768.451843 0.010 220.1866
774.020386 0.010 219.6375
779.629272 0.010 219.0913
785.278809 0.010 218.5479
790.969238 0.010 218.0069
796.700928 0.010 217.4681
802.474121 0.010 216.9315
808.289185 0.010 216.3971
814.146362 0.010 215.8650
820.046021 0.010 215.3355
825.988403 0.010 214.8089
831.973877 0.010 214.2854
838.002686 0.010 213.7651
844.075195 0.010 213.2481
850.191711 0.010 212.7342
856.352539 0.010 212.2233
862.558044 0.010 211.7153
868.808472 0.010 211.2099
875.104187 0.010 210.7071
881.445557 0.010 210.2065
887.832886 0.010 209.7081
894.266479 0.010 209.2117
900.746704 0.010 208.7172
907.273865 0.010 208.2246
913.848328 0.010 207.7339
920.470459 0.010 207.2452
927.140564 0.010 206.7585
933.859009 0.010 206.2738
940.626160 0.010 205.7912
947.442322 0.010 205.3105
954.307861 0.010 204.8318
961.223145 0.010 204.3551
968.188538 0.010 203.8802
975.204407 0.010 203.4070
982.271118 0.010 202.9354
989.389038 0.010 202.4654
996.558533 0.010 201.9970
1003.780029 0.010 201.5301
1011.053833 0.010 201.0647
1018.380371 0.010 200.6007
1025.760010 0.010 200.1382
1033.193115 0.010 199.6770
1040.680054 0.010 199.2172
1048.221191 0.010 198.7586
1055.817017 0.010 198.3012
1063.467896 0.010 197.8447
1071.174194 0.010 197.3893
1078.936401 0.010 196.9348
1086.754761 0.010 196.4815
1094.629883 0.010 196.0293
1102.562012 0.010 195.5785
1110.551636 0.010 195.1292
1118.599121 0.010 194.6814
1126.704956 0.010 194.2352
1134.869507 0.010 193.7906
1143.093262 0.010 193.3474
1151.376587 0.010 192.9054
1159.719971 0.010 192.4646
1168.123779 0.010 192.0247
1176.588501 0.010 191.5856
1185.114502 0.010 191.1473
1193.702271 0.010 190.7097
1202.352295 0.010 190.2728
1211.065063 0.010 189.8367
1219.840942 0.010 189.4013
1228.680420 0.010 188.9667
1237.583984 0.010 188.5328
1246.552002 0.010 188.0997
1255.585083 0.010 187.6671
1264.683594 0.010 187.2352
1273.848022 0.010 186.8039
1283.078857 0.010 186.3732
1292.376587 0.010 185.9431
1301.741699 0.010 185.5136
1311.174683 0.010 185.0848
1320.676025 0.010 184.6568
1330.246216 0.010 184.2295
1339.885742 0.010 183.8029
1349.595093 0.010 183.3770
1359.374756 0.010 182.9518
1369.225342 0.010 182.5271
1379.147339 0.010 182.1027
1389.141235 0.010 181.6786
1399.207520 0.010 181.2546
1409.346802 0.010 180.8307
1419.559570 0.010 180.4068
1429.846313 0.010 179.9830
1440.207520 0.010 179.5592
1450.643799 0.010 179.1355
1461.155762 0.010 178.7119
1471.743896 0.010 178.2884
1482.408813 0.010 177.8650
1493.151001 0.010 177.4416
1503.970947 0.010 177.0181
1514.869385 0.010 176.5944
1525.846802 0.010 176.1706
1536.903687 0.010 175.7467
1548.040771 0.010 175.3227
1559.258545 0.010 174.8987
1570.557617 0.010 174.4747
1581.938477 0.010 174.0506
1593.401855 0.010 173.6263
1604.948242 0.010 173.2018
1616.578369 0.010 172.7772
1628.292725 0.010 172.3523
1640.092041 0.010 171.9274
1651.976807 0.010 171.5024
1663.947754 0.010 171.0774
1676.005371 0.010 170.6524
1688.150391 0.010 170.2275
1700.383423 0.010 169.8025
1712.705078 0.010 169.3775
1725.116089 0.010 168.9522
1737.616943 0.010 168.5267
1750.208374 0.010 168.1008
1762.891113 0.010 167.6742
1775.665771 0.010 167.2471
1788.532959 0.010 166.8192
1801.493408 0.010 166.3906
1814.547729 0.010 165.9612
1827.696655 0.010 165.5311
1840.940918 0.010 165.1003
1854.281128 0.010 164.6686
1867.718018 0.010 164.2361
1881.252319 0.010 163.8028
1894.884644 0.010 163.3687
1908.615723 0.010 162.9337
1922.446289 0.010 162.4978
1936.377075 0.010 162.0611
1950.408813 0.010 161.6236
1964.542236 0.010 161.1853
1978.778076 0.010 160.7464
1993.117065 0.010 160.3066
2007.560059 0.010 159.8662
2022.107666 0.010 159.4252
2036.760742 0.010 158.9834
2051.520020 0.010 158.5408
2066.386230 0.010 158.0975
2081.360107 0.010 157.6534
2096.442383 0.010 157.2085
2111.634033 0.010 156.7629
2126.935791 0.010 156.3165
2142.348389 0.010 155.8694
2157.872803 0.010 155.4217
2173.509521 0.010 154.9734
2189.259766 0.010 154.5246
2205.124023 0.010 154.0754
2221.103271 0.010 153.6257
2237.198242 0.010 153.1757
2253.409912 0.010 152.7253
2269.739014 0.010 152.2744
2286.186523 0.010 151.8232
2302.753174 0.010 151.3716
2319.439941 0.010 150.9196
2336.247559 0.010 150.4674
2353.177002 0.010 150.0150
2370.229004 0.010 149.5626
2387.404541 0.010 149.1101
2404.704590 0.010 148.6578
2422.130127 0.010 148.2058
2439.681885 0.010 147.7540
2457.360840 0.010 147.3027
2475.167969 0.010 146.8520
2493.104004 0.010 146.4019
2511.170166 0.010 145.9525
2529.367188 0.010 145.5040
2547.696045 0.010 145.0565
2566.157715 0.010 144.6102
2584.753174 0.010 144.1652
2603.483398 0.010 143.7218
2622.349365 0.010 143.2801
2641.352051 0.010 142.8404
2660.492432 0.010 142.4029
2679.771484 0.010 141.9679
2699.190186 0.010 141.5356
2718.749512 0.010 141.1064
2738.450684 0.010 140.6805
2758.294678 0.010 140.2582
2778.282471 0.010 139.8398
2798.415039 0.010 139.4257
2818.693604 0.010 139.0161
2839.119141 0.010 138.6114
2859.692627 0.010 138.2119
2880.415039 0.010 137.8179
2901.287598 0.010 137.4297
2922.311523 0.010 137.0475
2943.487793 0.010 136.6717
2964.817627 0.010 136.3025
2986.302002 0.010 135.9401
3007.941895 0.010 135.5849
3029.738770 0.010 135.2370
3051.693604 0.010 134.8970
3073.807373 0.010 134.5650
3096.081543 0.010 134.2413
3118.517090 0.010 133.9262
3141.115234 0.010 133.6200
3163.876953 0.010 133.3230
3186.803711 0.010 133.0353
3209.896484 0.010 132.7572
3233.156738 0.010 132.4889
3256.585449 0.010 132.2305
3280.184082 0.010 131.9821
3303.953613 0.010 131.7438
3327.895508 0.010 131.5155
3352.010742 0.010 131.2972
3376.300781 0.010 131.0888
3400.766846 0.010 130.8901
3425.410156 0.010 130.7010
3450.232178 0.010 130.5213
3475.233887 0.010 130.3508
3500.416748 0.010 130.1894
3525.782227 0.010 130.0369
3551.331543 0.010 129.8931
3577.065918 0.010 129.7577
3602.986816 0.010 129.6305
3629.095459 0.010 129.5111
3655.393311 0.010 129.3993
3681.881836 0.010 129.2945
3708.562256 0.010 129.1964
3735.436035 0.010 129.1044
3762.504639 0.010 129.0183
3789.769287 0.010 128.9375
3817.231445 0.010 128.8618
3844.892578 0.010 128.7905
3872.754150 0.010 128.7234
3900.817627 0.010 128.6601
3929.084473 0.010 128.6001
3957.556152 0.010 128.5430
3986.234131 0.010 128.4884
4015.120117 0.010 128.4360
4044.215332 0.010 128.3856
4073.521484 0.010 128.3369
4103.040039 0.010 128.2897
4132.772461 0.010 128.2440
4162.720215 0.010 128.1996
4192.884766 0.010 128.1562
4223.268066 0.010 128.1140
4253.871582 0.010 128.0726
4284.696777 0.010 128.0319
4315.745605 0.010 127.9919
4347.019043 0.010 127.9525
4378.519531 0.010 127.9136
4410.248047 0.010 127.8752
4442.206543 0.010 127.8373
4474.396484 0.010 127.8001
4506.819824 0.010 127.7634
4539.478027 0.010 127.7274
4572.373047 0.010 127.6922
4605.506348 0.010 127.6579
4638.879883 0.010 127.6246
4672.495117 0.010 127.5925
4706.354004 0.010 127.5616
4740.458008 0.010 127.5323
4774.809082 0.010 127.5044
4809.409180 0.010 127.4781
4844.260254 0.010 127.4537
4879.363770 0.010 127.4311
4914.721680 0.010 127.4105
4950.335938 0.010 127.3921
4986.208008 0.010 127.3760
5022.340332 0.010 127.3623
5058.734375 0.010 127.3513
5095.392090 0.010 127.3431
5132.315430 0.010 127.3379
5169.506348 0.010 127.3357
5206.966797 0.010 127.3369
5244.698730 0.010 127.3414
5282.704102 0.010 127.3496
5320.984863 0.010 127.3615
5359.542969 0.010 127.3773
5398.380371 0.010 127.3971
5437.499023 0.010 127.4212
5476.901367 0.010 127.4496
5516.589355 0.010 127.4826
5556.564941 0.010 127.5201
5596.830078 0.010 127.5624
5637.387207 0.010 127.6094
5678.238281 0.010 127.6613
5719.385254 0.010 127.7183
5760.830078 0.010 127.7804
5802.575195 0.010 127.8477
5844.623047 0.010 127.9204
5886.975586 0.010 127.9986
5929.635254 0.010 128.0824
5972.604004 0.010 128.1719
6015.883789 0.010 128.2672
6059.477539 0.010 128.3682
6103.387207 0.010 128.4751
6147.614746 0.010 128.5878
6192.163086 0.010 128.7063
6237.034180 0.010 128.8305
6282.230469 0.010 128.9606
6327.753906 0.010 129.0963
6373.607422 0.010 129.2378
6419.792969 0.010 129.3850
6466.313477 0.010 129.5379
6513.170898 0.010 129.6963
6560.368164 0.010 129.8604
6607.907227 0.010 130.0300
6655.791016 0.010 130.2052
6704.021484 0.010 130.3860
6752.601562 0.010 130.5724
6801.533691 0.010 130.7645
6850.820312 0.010 130.9621
6900.464355 0.010 131.1655
6950.467773 0.010 131.3745
7000.833496 0.010 131.5892
7051.564453 0.010 131.8097
7102.663086 0.010 132.0360
7154.131836 0.010 132.2682
7205.973633 0.010 132.5064
7258.190918 0.010 132.7505
7310.786621 0.010 133.0007
7363.763672 0.010 133.2569
7417.124512 0.010 133.5192
7470.872070 0.010 133.7877
7525.009277 0.010 134.0624
7579.538574 0.010 134.3432
7634.462891 0.010 134.6303
7689.785156 0.010 134.9235
7745.508301 0.010 135.2229
7801.635254 0.010 135.5282
7858.168945 0.010 135.8396
